cranberry jell-o|gelatin;cranberry
Hawaiian Punch&reg; Fruit Juicy Red|juice;fruit
Hammer&reg; lime vodka|vodka;flavoured;lime
Orange Reef&reg; vodka|vodka
raspberry jell-o|gelatin;raspberry
Yukon Jack&reg; Perma Frost schnapps|schnapps;peppermint
IBC&reg; root beer|beer;root
Seagram's&reg; lemon gin|gin;lemon
pear schnapps|schnapps;pear
Fee Brothers&reg; orange bitters|bitters;orange
Everglo liqueur|liqueur;coffee
maracuja syrup|syrup;maracuja
kiwis|fruit;kiwi
Vincent Van Gogh&reg; Espresso vodka|vodka;flavoured;coffee
Nestle&reg; condensed milk|milk;condensed
honey|honey
Bols&reg; butterscotch schnapps|schnapps;
Corona&reg; Extra lager|beer;lager
Kool-Aid&reg; Tangerine mix|powder;tangarine
cherry cider|cider;cherry
Bandolero&reg; triple sec|liqueur;triple sec
chocolate milk|milk;chocolate
Sweet'N Low&reg; artificial sweetener|sugar
passion-fruit liqueur|liqueur;passion fruit
X-Rated Fusion&reg; liqueur|liqueur;passion fruit;mango
Jose Cuervo&reg; 1800 tequila|tequila;aged
Busch&reg; Light lager|beer;lager;light
Absolut&reg; vodka|vodka
vanilla schnapps|schnapps;vanilla
Remy&reg; Red cognac|cognac
tropical-fruit puree|puree;tropical fruit
dry sherry|wine;sherry;dry
pastis liqueur|liqueur;pastis
Everfresh&reg; tropical fruit punch|punch;tropical fruit
banana rum|rum;flavoured;banana
Chinese wine|wine;chinese
Puerto Rican dark rum|rum;dark
watermelon jell-o|gelatin;watermelon
Angostura&reg; Lemon, Lime & Bitters|bitters;lemon and lime
Amaretto Di Saronno&reg; liqueur|liqueur;amaretto
carbonated water|soda
Seagram's&reg; apple vodka|vodka;flavoured;apple
pineapple syrup|syrup;pineapple
Cruzan&reg; dark rum|rum;dark
lemon syrup|syrup;lemon
Stoli&reg; Strasberi vodka|vodka;flavoured;strawberry
Myer's&reg; dark rum|rum;dark
agave juice|juice;agave
syrup of roses|syrup;roses
Tony Chachere's&reg; Creole Seasoning|spice
Safflower Oil|safflower oil
brandy|brandy
peach sorbet|sorbet;peach
Dutch genever gin|gin;genever
Pepsi&reg; Vanilla cola|cola;vanilla
Five Alive&reg; fruit juice|juice;mixed furit
Sobe&reg; No Fear energy drink|energy
Lemon Hart&reg; dark rum|rum;dark
mangos|fruit;mango
Royal Crown&reg; cola|cola
Tropicana&reg; orange juice|juice;orange
St-Germain Elderflower Liqueur|liqueur;elderflower
Nestea&reg; peach iced tea|ice tea;peach
armagnac|brandy;armagnac
peppermint extract|extract;peppermint
San Pellegrino&reg|mineral water
Brut&reg; Champagne|wine;champagne
Effen&reg; black cherry vodka|vodka;flavoured;black cherry
water|water
McCormick's&reg; vodka|vodka
Hershey's&reg; cocoa|chocolate
Raynal&reg; French brandy|brandy
Metaxa Brandy|brandy;metaxa
black rum|rum;dark
Manischewitz&reg; red wine|wine;red
pear liqueur|liqueur;pear
Pumpkin puree|puree;pumpkin
Ale-8-One&reg; soda|soda
cranberry soda|soda;cranberry
Parmesan cheese|cheese;parmesan
Jose Cuervo&reg; Especial gold tequila|tequila;gold
Rosemary|herb;rosemary
Finches&reg; white lemonade|soda;clear lemonade
flavored rum|rum;flavoured
Rum Tree&reg; liqueur|liqueur;rum 
Hawaiian Punch&reg; Green Berry Rush|punch;fruit;strawberry and kiwi
Parma violet liqueur|liqueur;herb;parma violet
E & J&reg; Cask and Cream Caramel Temptation liqueur|liqueur;cream;caramel
cracked ice|ice
black cherry jell-o|gelatin;black cherry
Stroh&reg; 80 rum|rum;overproof
San Pellegrino&reg; Aranciata orange soda|soda;orange
Jamaican ginger beer|beer;ginger
Quady Vya&reg; sweet vermouth|vermouth;sweet
Marie Brizard&reg; Creme de Fraise des Bois|liqueur;fruit creme
Barenjager&reg; honey liqueur|liqueur;honey
GranGala&reg; orange liqueur|liqueur;orange
Three Olives&reg; vodka|vodka
coffee creamer|cream;coffee
Coca-Cola&reg; Blak|cola
Jacquin's&reg; creme de fraise|liqueur;strawbery creme
Pushckin&reg; Black Sun vodka|vodka
Gordon's&reg; vodka|vodka
Bacardi&reg; Peach Red rum|rum;flavoured
Fruits of the Forest&reg; fruit juice|juice;fruit
LBV port|wine;port
Schweppes&reg; Russian tonic water|soda;tonic;cherry
hot pepper sauce|sauce;hot pepper
Absolut&reg; Peppar vodka|vodka;flavoured;pepper
chocolate shell syrup|syrup;chocolate
benedictine herbal liqueur|liqueur;herbal
Galliano&reg; green sambuca|liqueur;sambuca;green
Coecoei|liqueur;agave
Boru&reg; vodka|vodka
Naked Juice&reg; Mighty Mango Smoothie
Juicy Juice&reg; orange tangerine juice
blackberry
Grey Goose&reg; L'Orange vodka
DeKuyper&reg; apple schnapps
DeKuyper&reg; Wilderberry schnapps
mace
apple
Ypioca&reg; Ouro Cachaca
Bacardi&reg; O rum
pickle brine
Sauza&reg; blanco tequila
cranberry vodka
Sansachun&reg; Korean wine
passion-fruit syrup
white cranberry juice
lime mix
nectarine
coconut syrup
Smirnoff&reg; Vanilla Twist vodka
Sucralose
Kool-Aid&reg; Berry Blue mix
Bacardi&reg; apple rum
UV&reg; cherry vodka
Hawaiian Punch&reg;
Captain Morgan&reg; Private Stock dark rum
mango liqueur
bison grass vodka
Louisiana hot sauce
lime ice cream
maracuja juice
Amadeus&reg; almond liqueur
peppermint
St. Hallvard&reg; herbal liqueur
Tanqueray&reg; Sterling vodka
anise
genever gin
non-alcoholic creme de menthe|liqueur;non-alcoholic;menthe
Coors&reg; Light beer
berry blue jell-o|jello;blueberry
Tropicana&reg; Tropical Fruit Furry Twister
creme de violette
Tampico&reg; orange juice|juice;orange
instant coffee|coffee;instant
Boodles&reg; British gin
Kool-Aid&reg; Blue Raspberry mix|powder;blue-raspberry
sugar|sugar
Partida&reg; Tequila Blanco|tequila;white
almond|seed;almond
Cynar&reg; artichoke liqueur|liqueur;artchoke
Blue Moon&reg; Belgian ale|beer;ale;belgian
Godiva&reg; cappucino liqueur|liqueur;coffee;cappuccino
papaya nectar|juice;papaya
Black Velvet&reg; Canadian whisky|whiskey;canadian
lemon cordial|syrup;lemon
Cool Whip|cream;whipped
horseradish sauce|sauce;horseradish
dark creme de cacao|liqueur;chocolate;dark
grape jello|jello;grape
Bushmills&reg; Irish Cream|liqueur;cream;irish
Dole&reg; orchard peach juice|juice;peach
Orange Curacao liqueur|liqueur;curacao;orange
Rose's&reg; blue raspberry mixer|mix;raspberry
bitters|bitters
Lismore&reg; scotch whisky|whiskey;scotch
kiwi liqueur|liqueur;kiwi
Monin&reg; blue curacao syrup|syrup;curacao;blue
Old Orchard Pomagranate Cherry|juice;pomegranate-cherry
Bols&reg; Blue Curacao liqueur|liqueur;curacao;blue
Appleton Estate&reg; 151 proof Jamaican rum|rum;overproof
almond syrup|syrup;almond
Herbsaint&reg; liqueur|liqueur;herbal
Kool-Aid&reg; Lemon-Lime mix|powder;lemon-lime
Lea & Perrins&reg; Worcestershire sauce|sauce;worcestershire
Godiva&reg; chocolate liqueur|liqueur;chocolate
Smirnoff&reg; Raspberry Twist vodka|vodka;flavoured;raspberry
DeKuyper&reg; Mad Melon schnapps|schnapps;melon
Bacardi Hurricane|rum;overproof
99 Blackberries&reg; blackberry schnapps|schnapps;blackberry
Charles Heidsieck&reg; Champagne|wine;champagne
Bell's&reg; Scotch whisky|whiskey;scotch
Dates|fruit;dates
Fanta&reg; blueberry soda|soda;blueberry
white cider|cider;white
Tanqueray&reg; gin|gin
Ceres&reg; guava juice|juice;guava
gummi fish|candy;gummi fish
rum|rum
Old Crow&reg; bourbon whiskey|whiskey;bourbon
Hooper's&reg; Hooch|alcopop;lemon
Vana Tallinn|liqueur;cream
